game_id,game_type_id,WEEK,HOME_TEAM_ID,AWAY_TEAM_ID,created_date,create_user
61,1,4,21,7,2018-10-15 7:04,mortimer
183,1,13,8,27,2018-10-15 7:04,mortimer
40,1,3,8,6,2018-10-15 7:04,mortimer
162,1,12,14,21,2018-10-15 7:04,mortimer
223,1,15,31,23,2018-10-15 7:04,mortimer
19,1,2,32,10,2018-10-15 7:04,mortimer
80,1,6,20,10,2018-10-15 7:04,mortimer
202,1,14,10,18,2018-10-15 7:04,mortimer
59,1,4,12,31,2018-10-15 7:04,mortimer
181,1,13,22,26,2018-10-15 7:04,mortimer
242,1,17,7,8,2018-10-15 7:04,mortimer
38,1,3,7,14,2018-10-15 7:04,mortimer
221,1,15,26,17,2018-10-15 7:04,mortimer
78,1,6,27,16,2018-10-15 7:04,mortimer
200,1,14,15,16,2018-10-15 7:04,mortimer
57,1,4,6,9,2018-10-15 7:04,mortimer
240,1,16,15,30,2018-10-15 7:04,mortimer
36,1,3,25,23,2018-10-15 7:04,mortimer
97,1,7,19,32,2018-10-15 7:04,mortimer
219,1,15,32,18,2018-10-15 7:04,mortimer
76,1,5,11,1,2018-10-15 7:04,mortimer
198,1,14,11,25,2018-10-15 7:04,mortimer
259,2,1,4,15,2018-10-15 7:04,mortimer
55,1,4,13,19,2018-10-15 7:04,mortimer
116,1,8,18,20,2018-10-15 7:04,mortimer
238,1,16,23,4,2018-10-15 7:04,mortimer
95,1,7,4,15,2018-10-15 7:04,mortimer
217,1,15,8,19,2018-10-15 7:04,mortimer
74,1,5,6,17,2018-10-15 7:04,mortimer
257,2,1,32,29,2018-10-15 7:04,mortimer
114,1,8,7,13,2018-10-15 7:04,mortimer
236,1,16,25,2,2018-10-15 7:04,mortimer
93,1,7,11,26,2018-10-15 7:04,mortimer
72,1,5,30,29,2018-10-15 7:04,mortimer
133,1,9,16,5,2018-10-15 7:04,mortimer
255,1,17,12,29,2018-10-15 7:04,mortimer
112,1,8,9,24,2018-10-15 7:04,mortimer
234,1,16,3,28,2018-10-15 7:04,mortimer
91,1,6,25,12,2018-10-15 7:04,mortimer
152,1,11,32,28,2018-10-15 7:04,mortimer
